source,target,
1,142,
2,3877,
2,7329,
2,7318,
3,1409,
4,3149,
4,2999,
5,6524,
5,6492,
5,3883,
5,7330,
6,7331,
7,7332,
8,7333,
8,830,
8,1690,
8,5612,
8,5229,
8,3535,
8,7145,
8,5849,
8,521,
8,1811,
8,5067,
8,6925,
8,6451,
8,1158,
8,1517,
8,5530,
9,6468,
10,7264,
10,7334,
10,4302,
10,4334,
10,1985,
10,2518,
10,2313,
10,7335,
10,7336,
10,7337,
10,4160,
11,7338,
12,7339,
12,7209,
12,7316,
12,43,
12,4409,
12,7340,
12,4467,
13,6710,
13,7341,
13,7342,
14,7343,
14,2242,
15,2415,
15,7344,
16,2086,
16,7345,
16,7346,
17,5901,
17,7347,
17,1865,
17,4431,
17,2795,
17,2787,
18,7348,
18,7349,
18,3688,
19,5258,
20,1426,
20,3635,
20,1894,
20,4771,
20,2593,
20,7350,
21,2883,
22,1180,
22,7351,
23,2793,
23,703,
23,5460,
23,6097,
23,1218,
23,5888,
23,3340,
23,4204,
23,5910,
23,4852,
23,2403,
23,4822,
23,1968,
23,275,
23,3860,
23,6456,
23,1555,
23,4901,
23,3790,
23,7352,
23,4532,
24,6226,
24,3659,
24,6508,
24,7353,
25,7354,
25,6932,
25,1363,
25,2061,
25,4050,
25,7355,
25,4189,
25,2163,
26,2270,
26,2345,
26,7027,
26,3072,
26,1396,
27,7356,
27,7357,
27,7358,
27,4909,
27,6080,
27,1275,
27,6826,
27,7359,
27,7360,
27,2116,
27,7361,
27,7362,
28,5696,
29,102,
30,7363,
31,7189,
31,7226,
31,4617,
31,2690,
31,3965,
31,2993,
31,618,
31,6971,
32,6452,
33,4741,
34,237,
34,7364,
34,4032,
34,7365,
35,6468,
36,4896,
37,7366,
38,7367,
38,7368,
39,188,
40,7369,
40,7370,
41,6147,
41,7371,
42,4757,
43,7372,
43,7373,
44,4490,
44,7374,
44,7123,
44,5513,
44,5721,
44,7328,
44,3527,
44,7154,
44,4414,
44,7308,
44,5042,
44,6175,
44,4656,
44,7167,
44,6182,
45,5563,
45,872,
46,7132,
46,5776,
46,3788,
46,7063,
46,3535,
46,4509,
46,521,
46,7097,
46,5582,
46,4663,
47,7375,
47,7376,
47,5200,
47,6090,
47,1896,
47,4137,
48,7370,
49,5919,
49,4538,
50,4552,
51,7377,
51,7378,
51,1875,
52,7260,
53,6099,
53,6527,
53,4647,
53,3157,
53,7379,
53,6085,
53,7380,
53,7381,
53,7382,
53,7383,
54,5729,
54,7384,
54,7385,
54,7386,
54,7387,
55,817,
56,7388,
56,1095,
56,6590,
56,7389,
56,1691,
56,2461,
57,714,
58,4758,
59,7390,
60,7391,
60,7392,
60,7393,
60,7394,
60,5058,
60,7395,
60,7338,
60,2249,
60,7396,
60,7397,
61,7007,
62,2770,
63,3262,
64,2196,
65,4538,
66,5661,
66,7398,
66,7344,
67,3647,
67,7399,
67,1845,
68,3692,
68,7400,
69,5291,
69,5264,
69,7401,
69,7402,
69,1727,
69,2166,
69,4654,
69,7089,
69,4285,
69,778,
69,2736,
69,3176,
69,2200,
69,4467,
69,7403,
70,3137,
71,7404,
72,5760,
73,7405,
73,1861,
73,7406,
74,4428,
74,5941,
74,6656,
74,3410,
75,7407,
76,7408,
77,7409,
77,7410,
77,4347,
78,7411,
78,6544,
78,2864,
79,1386,
79,7412,
79,6578,
79,4145,
79,7413,
80,7414,
81,5623,
81,7415,
82,2016,
83,7416,
84,2668,
84,6509,
85,7417,
85,6640,
86,7370,
87,3618,
88,129,
88,4867,
89,4849,
89,4369,
90,3067,
91,7418,
92,2485,
92,6010,
92,7419,
93,112,
93,344,
93,4400,
93,7420,
93,618,
93,6275,
93,7421,
93,2217,
93,6138,
93,4357,
93,2735,
93,4869,
94,7422,
95,7423,
96,6099,
97,6907,
97,7287,
98,4229,
98,7211,
98,2749,
98,7424,
98,7425,
98,7426,
98,1084,
98,6163,
98,1929,
98,1440,
98,7427,
98,7428,
98,1805,
98,7429,
98,7430,
98,4780,
98,7431,
98,6868,
98,2362,
99,7432,
100,6199,
100,4857,
101,4772,
102,7433,
102,1851,
102,6543,
103,2551,
103,7434,
104,1042,
104,4195,
104,2047,
105,6756,
105,5849,
105,7041,
105,6925,
105,5530,
106,7435,
106,7322,
106,6251,
106,7021,
106,193,
106,1841,
107,7423,
108,6463,
109,738,
110,6818,
111,3143,
112,1972,
112,1765,
112,7339,
112,3991,
112,276,
112,4842,
112,344,
112,2674,
112,7316,
112,7436,
112,7437,
112,6442,
112,5499,
112,5936,
112,1982,
112,6022,
112,170,
112,7420,
112,1487,
112,618,
112,3659,
112,7438,
112,4239,
112,1876,
112,2657,
112,6181,
112,7244,
112,7439,
112,2217,
112,4357,
112,2809,
112,2735,
112,2007,
112,6452,
112,3638,
112,7440,
112,4869,
112,4467,
